iter	Passed	Remaining
0	1	187
1	3	178
2	5	171
3	6	160
4	8	160
5	9	156
6	11	156
7	13	155
8	15	155
9	17	154
10	19	153
11	21	154
12	22	153
13	24	150
14	26	148
15	27	146
16	29	145
17	31	143
18	33	142
19	35	142
20	37	139
21	38	137
22	40	135
23	42	133
24	43	131
25	45	130
26	47	128
27	49	126
28	50	124
29	52	123
30	54	121
31	56	119
32	58	118
33	60	117
34	62	115
35	63	113
36	65	112
37	68	111
38	70	110
39	72	108
40	73	106
41	74	103
42	76	101
43	78	99
44	80	97
45	81	95
46	83	94
47	85	92
48	87	90
49	88	88
50	90	87
51	93	86
52	95	84
53	97	83
54	99	81
55	102	80
56	105	79
57	107	77
58	110	76
59	112	75
60	115	73
61	117	72
62	120	70
63	122	69
64	125	67
65	127	65
66	130	64
67	132	62
68	135	60
69	137	59
70	140	57
71	142	55
72	145	53
73	147	51
74	150	50
75	152	48
76	155	46
77	158	44
78	160	42
79	163	40
80	165	38
81	168	36
82	170	34
83	173	33
84	175	30
85	178	29
86	181	27
87	183	25
88	186	23
89	188	20
90	191	18
91	194	16
92	197	14
93	199	12
94	201	10
95	203	8
96	206	6
97	209	4
98	211	2
99	214	0
