iter	Passed	Remaining
0	153	153287
1	157	78725
2	162	53967
3	166	41520
4	171	34080
5	176	29212
6	180	25655
7	185	22974
8	190	20931
9	194	19209
10	198	17859
11	203	16736
12	207	15770
13	211	14929
14	216	14228
15	220	13587
16	225	13029
17	229	12504
18	233	12058
19	237	11636
20	241	11276
21	246	10943
22	250	10626
23	254	10353
24	259	10118
25	263	9872
26	268	9672
27	272	9465
28	277	9282
29	282	9118
30	286	8949
31	290	8782
32	294	8633
33	298	8484
34	302	8348
35	307	8233
36	311	8112
37	316	8004
38	320	7896
39	324	7788
40	328	7688
41	332	7587
42	336	7496
43	341	7419
44	345	7330
45	349	7248
46	353	7165
47	357	7091
48	361	7022
49	366	6962
50	371	6917
51	376	6859
52	381	6812
53	386	6764
54	390	6709
55	394	6656
56	399	6612
57	404	6561
58	408	6510
59	414	6486
60	418	6435
61	422	6387
62	426	6341
63	430	6294
64	434	6250
65	438	6207
66	442	6166
67	447	6127
68	451	6089
69	455	6051
70	459	6008
71	463	5969
72	467	5940
73	472	5906
74	476	5871
75	480	5843
76	484	5810
77	488	5774
78	492	5747
79	496	5714
80	501	5686
81	505	5655
82	507	5602
83	511	5583
84	516	5557
85	521	5538
86	525	5517
87	529	5490
88	534	5469
89	538	5445
90	542	5423
91	547	5404
92	551	5382
93	556	5362
94	560	5342
95	565	5321
96	569	5299
97	574	5285
98	578	5268
99	583	5248
100	587	5230
101	592	5213
102	596	5195
103	600	5175
104	605	5162
105	609	5140
106	613	5122
107	618	5105
108	622	5089
109	626	5067
110	630	5048
111	634	5030
112	638	5012
113	642	4994
114	647	4983
115	651	4967
116	655	4945
117	660	4933
118	664	4920
119	669	4906
120	673	4892
121	677	4877
122	681	4861
123	685	4844
124	689	4829
125	694	4816
126	697	4794
127	701	4778
128	706	4767
129	710	4754
130	714	4739
131	718	4725
132	722	4709
133	726	4694
134	730	4680
135	734	4667
136	738	4652
137	742	4636
138	746	4621
139	750	4607
140	754	4593
141	756	4572
142	760	4559
143	764	4546
144	769	4535
145	773	4522
146	777	4511
147	781	4500
148	786	4489
149	790	4477
150	794	4467
151	798	4455
152	802	4444
153	806	4432
154	810	4420
155	815	4412
156	819	4400
157	823	4387
158	827	4379
159	832	4369
160	834	4350
161	839	4340
162	843	4331
163	847	4319
164	851	4309
165	855	4300
166	860	4290
167	864	4279
168	867	4267
169	872	4257
170	876	4247
171	880	4239
172	885	4231
173	889	4222
174	893	4212
175	897	4200
176	901	4192
177	905	4181
178	909	4172
179	913	4162
180	917	4153
181	921	4143
182	925	4133
183	929	4123
184	934	4114
185	937	4104
186	942	4095
187	946	4086
188	950	4078
189	954	4069
190	958	4059
191	962	4051
192	967	4044
193	971	4035
194	975	4027
195	979	4017
196	983	4009
197	987	4000
198	992	3994
199	996	3985
200	1000	3978
201	1005	3973
202	1010	3966
203	1014	3957
204	1018	3950
205	1023	3943
206	1027	3934
207	1031	3927
208	1035	3920
209	1040	3912
210	1044	3905
211	1048	3897
212	1052	3890
213	1057	3883
214	1061	3877
215	1069	3880
216	1074	3877
217	1082	3881
218	1086	3875
219	1091	3868
220	1096	3863
221	1102	3862
222	1106	3856
223	1111	3851
224	1121	3863
225	1127	3862
226	1132	3857
227	1137	3851
228	1142	3847
229	1148	3843
230	1153	3839
231	1162	3848
232	1168	3845
233	1173	3840
234	1179	3838
235	1184	3833
236	1189	3827
237	1194	3823
238	1198	3815
239	1204	3815
240	1210	3811
241	1215	3806
242	1219	3799
243	1224	3793
244	1229	3789
245	1234	3784
246	1241	3783
247	1246	3778
248	1250	3770
249	1254	3763
250	1261	3763
251	1269	3767
252	1274	3764
253	1281	3763
254	1285	3756
255	1290	3750
256	1296	3747
257	1305	3753
258	1310	3748
259	1315	3742
260	1319	3736
261	1324	3731
262	1329	3726
263	1334	3721
264	1338	3713
265	1345	3711
266	1349	3705
267	1354	3698
268	1358	3691
269	1362	3683
270	1368	3680
271	1372	3673
272	1376	3666
273	1381	3661
274	1387	3658
275	1392	3651
276	1396	3646
277	1401	3640
278	1406	3633
279	1410	3626
280	1414	3619
281	1419	3613
282	1423	3606
283	1428	3600
284	1433	3595
285	1437	3589
286	1441	3581
287	1446	3575
288	1451	3570
289	1455	3562
290	1460	3557
291	1464	3550
292	1468	3543
293	1472	3535
294	1476	3528
295	1480	3521
296	1484	3514
297	1490	3511
298	1495	3505
299	1499	3499
300	1503	3492
301	1508	3486
302	1513	3480
303	1517	3474
304	1521	3468
305	1527	3464
306	1533	3461
307	1538	3455
308	1543	3452
309	1548	3447
310	1553	3441
311	1557	3435
312	1563	3430
313	1567	3425
314	1572	3419
315	1577	3414
316	1581	3408
317	1585	3401
318	1591	3396
319	1595	3390
320	1599	3384
321	1604	3378
322	1610	3375
323	1614	3369
324	1619	3363
325	1626	3362
326	1630	3356
327	1635	3351
328	1641	3348
329	1646	3343
330	1651	3338
331	1656	3332
332	1660	3325
333	1665	3320
334	1670	3315
335	1676	3312
336	1681	3308
337	1685	3302
338	1690	3296
339	1695	3291
340	1699	3285
341	1704	3278
342	1709	3273
343	1714	3269
344	1718	3262
345	1722	3256
346	1728	3251
347	1732	3245
348	1736	3239
349	1742	3235
350	1746	3228
351	1750	3222
352	1757	3221
353	1761	3215
354	1765	3208
355	1771	3205
356	1776	3200
357	1781	3195
358	1786	3189
359	1791	3185
360	1796	3180
361	1800	3173
362	1805	3167
363	1809	3162
364	1814	3156
365	1818	3150
366	1823	3145
367	1831	3145
368	1837	3141
369	1841	3136
370	1849	3136
371	1855	3132
372	1861	3129
373	1867	3124
374	1871	3118
375	1875	3112
376	1879	3106
377	1884	3100
378	1889	3096
379	1894	3090
380	1898	3084
381	1903	3079
382	1908	3073
383	1912	3067
384	1916	3061
385	1921	3056
386	1925	3049
387	1929	3043
388	1934	3038
389	1939	3032
390	1943	3027
391	1948	3022
392	1954	3018
393	1958	3011
394	1962	3005
395	1966	2999
396	1971	2994
397	1975	2988
398	1980	2983
399	1985	2978
400	1990	2972
401	1996	2969
402	2000	2963
403	2005	2958
404	2010	2953
405	2014	2947
406	2019	2941
407	2023	2936
408	2028	2930
409	2032	2924
410	2036	2918
411	2041	2913
412	2047	2909
413	2051	2903
414	2056	2898
415	2061	2893
416	2065	2888
417	2070	2883
418	2075	2877
419	2079	2871
420	2084	2866
421	2088	2860
422	2092	2854
423	2105	2859
424	2109	2854
425	2113	2848
426	2118	2843
427	2123	2837
428	2127	2831
429	2132	2827
430	2136	2820
431	2140	2814
432	2145	2809
433	2149	2803
434	2153	2796
435	2157	2790
436	2161	2784
437	2166	2780
438	2170	2774
439	2174	2767
440	2178	2761
441	2182	2755
442	2187	2749
443	2191	2744
444	2195	2738
445	2199	2732
446	2204	2726
447	2208	2721
448	2212	2715
449	2216	2709
450	2220	2703
451	2225	2697
452	2229	2692
453	2233	2686
454	2237	2680
455	2241	2674
456	2245	2668
457	2250	2662
458	2253	2656
459	2258	2650
460	2262	2645
461	2266	2639
462	2270	2633
463	2274	2627
464	2278	2621
465	2282	2615
466	2287	2610
467	2291	2604
468	2295	2598
469	2299	2592
470	2303	2587
471	2307	2581
472	2312	2575
473	2315	2569
474	2320	2564
475	2323	2558
476	2328	2552
477	2332	2546
478	2336	2540
479	2340	2535
480	2344	2529
481	2348	2524
482	2352	2518
483	2357	2513
484	2361	2507
485	2365	2502
486	2369	2496
487	2373	2490
488	2377	2484
489	2381	2478
490	2385	2473
491	2390	2467
492	2394	2462
493	2398	2456
494	2402	2451
495	2407	2445
496	2411	2440
497	2415	2434
498	2419	2429
499	2423	2423
500	2427	2418
501	2432	2413
502	2436	2407
503	2440	2401
504	2444	2396
505	2449	2391
506	2453	2385
507	2458	2380
508	2462	2375
509	2466	2369
510	2470	2363
511	2474	2358
512	2478	2353
513	2482	2347
514	2487	2342
515	2492	2337
516	2496	2332
517	2500	2326
518	2504	2321
519	2508	2315
520	2512	2309
521	2516	2304
522	2520	2298
523	2524	2293
524	2528	2287
525	2532	2281
526	2536	2276
527	2540	2271
528	2545	2266
529	2549	2260
530	2552	2254
531	2556	2248
532	2560	2243
533	2564	2237
534	2568	2232
535	2572	2227
536	2577	2221
537	2581	2216
538	2585	2211
539	2589	2205
540	2593	2200
541	2597	2194
542	2602	2190
543	2606	2184
544	2611	2180
545	2615	2174
546	2619	2169
547	2623	2163
548	2627	2158
549	2632	2153
550	2636	2148
551	2641	2143
552	2645	2138
553	2650	2133
554	2654	2128
555	2658	2122
556	2662	2117
557	2666	2112
558	2669	2106
559	2674	2101
560	2678	2095
561	2682	2090
562	2686	2085
563	2691	2080
564	2696	2075
565	2700	2070
566	2705	2065
567	2709	2060
568	2713	2055
569	2718	2050
570	2722	2045
571	2727	2040
572	2731	2035
573	2735	2030
574	2740	2025
575	2744	2019
576	2748	2014
577	2752	2009
578	2756	2004
579	2760	1999
580	2764	1993
581	2769	1988
582	2773	1983
583	2777	1978
584	2781	1973
585	2785	1968
586	2789	1962
587	2794	1957
588	2798	1952
589	2803	1947
590	2807	1942
591	2811	1937
592	2816	1932
593	2820	1927
594	2824	1922
595	2829	1918
596	2833	1913
597	2838	1908
598	2843	1903
599	2847	1898
600	2852	1893
601	2856	1888
602	2861	1883
603	2865	1878
604	2869	1873
605	2873	1868
606	2878	1863
607	2882	1858
608	2887	1853
609	2890	1848
610	2895	1843
611	2899	1838
612	2904	1833
613	2908	1828
614	2913	1823
615	2917	1818
616	2922	1814
617	2927	1809
618	2931	1804
619	2936	1799
620	2940	1794
621	2944	1789
622	2949	1784
623	2953	1779
624	2957	1774
625	2962	1770
626	2966	1765
